refId,name,intro ,imageid,iconid,shirt,position,star,league,nation,skillrefid,specialType,offense,organize,defense,goalkeep,a,b,c,d,offenseJie,organizeJie,defenseJie,goalkeepJie
10000,玩家,玩家卡牌,hero_h_10000,hero_i_10000,shirt_617,1,6,1,8,4022/4023/4024/4025,2,68,68,68,68,8000,8000,8000,8000,500#1000#2000#4000#6000,500#1000#2000#4000#6000,500#1000#2000#4000#6000,500#1000#2000#4000#6000
10054,尤西比奥,66年世界杯最佳射手,hero_h_10054,hero_i_10054,shirt_608,1,6,8,8,4006,1,212,88,60,23,8000,5000,1000,1000,500#1000#2000#4000#6000,500#1000#2000,100#300#600,100#300#600
10164,C·罗纳尔多,带球速度极快，善于突破和射门。,hero_h_10164,hero_i_10164,shirt_608,2,6,5,8,4007,1,202,102,45,20,8000,5000,1000,1000,500#1000#2000#4000#6000,500#1000#2000,100#300#600,100#300#600
10177,齐达内,前卫当今最有成就的司职中场大师。 ,hero_h_10177,hero_i_10177,shirt_611,2,6,8,8,4012,1,189,210,45,20,5000,8000,1000,1000,500#1000#2000,500#1000#2000#4000#6000,100#300#600,100#300#600
10178,普拉蒂尼,八十年代欧洲最佳球员，三度金球奖得主。 ,hero_h_10178,hero_i_10178,shirt_611,2,6,8,8,4013,1,189,210,45,20,5000,8000,1000,1000,500#1000#2000,500#1000#2000#4000#6000,100#300#600,100#300#600
10059,范巴斯滕,“三剑客”之一，天才射手，可惜过早退役。 ,hero_h_10059,hero_i_10059,shirt_607,1,6,8,7,4005,1,222,89,45,20,8000,4000,1000,1000,500#1000#2000#4000#6000,500#1000#2000,100#300#600,100#300#600
10040,梅西,2009年金球奖及世界足球先生。,hero_h_10040,hero_i_10040,shirt_606,1,6,5,6,4001,1,210,189,45,20,8000,6000,1000,1000,500#1000#2000#4000#6000,500#1000#2000#3500,100#300#600,100#300#600
10052,马拉多纳,被认为足球史上最优秀亦是最具争议的球员。,hero_h_10052,hero_i_10052,shirt_606,1,6,8,6,4002,1,203,230,89,20,8000,8000,1000,1000,500#1000#2000#4000#6000,500#1000#2000#4000#6000,100#300#600,100#300#600
10061,巴乔,贝克汉姆之前最受女球迷喜爱的球星。,hero_h_10061,hero_i_10061,shirt_604,1,6,8,4,4010,1,189,178,45,20,8000,4000,1000,1000,500#1000#2000#4000#6000,500#1000#2000,100#300#600,100#300#600
10186,巴雷西,八、九十年代米兰王朝的领袖。,hero_h_10186,hero_i_10186,shirt_604,2,6,8,4,4017,1,90,67,210,20,1000,1000,8000,1000,100#300#600,100#300#600,500#1000#2000#4000#6000,100#300#600
10265,马尔蒂尼,米兰王朝的见证人，职业球员的典范。,hero_h_10265,hero_i_10265,shirt_604,3,6,8,4,4016,1,90,67,210,20,1000,1000,8000,1000,100#300#600,100#300#600,500#1000#2000#4000#6000,100#300#600
10286,佐夫,欧洲“钢门”。 ,hero_h_10286,hero_i_10286,shirt_604,4,6,8,4,4019,1,38,67,89,210,1000,1000,1000,8000,100#300#600,100#300#600,100#300#600,500#1000#2000#4000#6000
10057,盖德·穆勒,世界杯进球纪录14球保持者。 ,hero_h_10057,hero_i_10057,shirt_603,1,6,8,3,4008,1,189,71,52,40,8000,1000,1000,1000,500#1000#2000#4000#6000,100#300#600,100#300#600,100#300#600
10176,贝肯鲍尔,现代全能型球员的典范。 ,hero_h_10176,hero_i_10176,shirt_603,2,6,8,3,4015,1,189,189,120,40,4000,8000,1000,1000,500#1000#2000,500#1000#2000#4000#6000,100#300#600,100#300#600
10266,马特乌斯,90年世界杯得主，德国足球的象征。 ,hero_h_10266,hero_i_10266,shirt_603,3,6,8,3,4018,1,148,168,150,60,4000,7000,4000,1000,500#1000#2000,500#1000#2000#4000#6000,100#300#600,100#300#600
10289,卡恩,2002年世界杯最佳球员，极具领袖气质。,hero_h_10289,hero_i_10289,shirt_603,4,6,8,3,4020,1,38,67,89,210,1000,1000,1000,8000,100#300#600,100#300#600,100#300#600,500#1000#2000#4000#6000
10179,查尔顿,英国最有成就的足球大师，曼联足球的见证人。 ,hero_h_10179,hero_i_10179,shirt_602,2,6,8,2,4014,1,130,160,150,30,4000,7000,1000,1000,500#1000#2000,500#1000#2000#4000#6000,100#300#600,100#300#600
10053,贝利,迄今享誉最多的足球运动员，三届世界杯得主。 ,hero_h_10053,hero_i_10053,shirt_601,1,6,8,1,4003,1,199,201,75,30,8000,8000,1000,1000,500#1000#2000#4000#6000,500#1000#2000#4000#6000,100#300#600,100#300#600
10062,济科,八十年代巴西桑巴舞之代表人物。 ,hero_h_10062,hero_i_10062,shirt_601,1,6,8,1,4011,1,178,192,40,30,5000,8000,1000,1000,500#1000#2000,500#1000#2000#4000#6000,100#300#600,100#300#600
10090,罗纳尔多,左右脚均衡，射术全面，射门精准。,hero_h_10090,hero_i_10090,shirt_601,1,6,5,1,4009,1,222,78,50,30,8000,1000,1000,1000,500#1000#2000#4000#6000,100#300#600,100#300#600,100#300#600
10070,亨利,当今最高产的射手之一。 ,hero_h_10070,hero_i_10070,shirt_611,1,5,8,8,4044,1,160,90,50,30,6000,1000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10108,德尚,曾率领法国队夺得世界杯和欧洲足球锦标赛的双料冠军。,hero_h_10108,hero_i_10108,shirt_611,2,5,7,8,4031,4,40,160,120,20,1000,1000,6000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10180,内德维德,东欧足球最杰出的代表，当今足坛第一硬汉。 ,hero_h_10180,hero_i_10180,shirt_622,2,5,8,8,4029,1,78,120,160,20,1000,1000,6000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
10182,菲戈,葡萄牙“黄金一代”的首领。 ,hero_h_10182,hero_i_10182,shirt_608,2,5,8,8,4039,1,120,150,56,30,1000,6000,1000,1000,100#200#300#400#500#600,100#200#300#400#500#601,100#200#300#400#500#602,100#200#300#400#500#603
